"","ID","Name1","Name2","Name3","Street1","Street2","City","State","Zipcode","Country","label"
"1037",7735,"Institute of Information Systems","Faculty of Economics","Humboldt University Berlin","10178 Berlin","Germany","","","","",27
"1038",167,"Institute of Information Systems","","","","","","","","Switzerland",28
"1039",2154,"Institute of Parallel and Distributed Systems","University of Stuttgart","","","","Stuttgart","","","Germany",29
"1040",7734,"Institute of Pedagogy and Informatics","Faculty of Philosophy IV","Humboldt University Berlin","10117 Berlin","Germany","","","","",27
"1041",4342,"Institute of Remote Sensing Applications","Chinese Academy of Sciences","","","","Beijing","","","",21
"1042",9461,"Institute of Technical Medicine","Faculty of Science and Technology","University of Twente","Enschede","The Netherlands 7500AE","","","","",30
"1043",1778,"Instituto de Informática","Universidade Federal do Rio Grande do Sul - UFRGS","","","","","","","Brazil",31
"1044",8887,"Integrated Data System Department","Siemens Corporate Research","","","","Princeton","","8540","USA",32
"1045",2183,"Integrated Media Systems Center & Computer Science Department","University of Southern California","","","","Los Angeles","CA","","",33
"1046",2780,"Intel Corporation","","","","","","","","",34
"1047",176,"Intel Corporation","Santa Clara","","","","","CA","","",34
"1048",548,"Intel Research Berkeley","","","","","","","","",35
"1049",5486,"Intel Research Berkeley","","","","","Berkeley","CA","","",35
"1050",7509,"Intel Research Laboratory","","","","","Berkeley","CA","","",35
"1051",1698,"Intel Research Pittsburgh","","","","","","","","",36
"1052",246,"Intel Research Pittsburgh","","","","","Pittsburgh","PA","","",36
"1053",6059,"Intel Research Pittsburgh","","","","","Pittsburgh","PA","","USA",36
"1054",2,"Intel Research","","","","","Berkeley","","","",37
"1055",8198,"Intel Research","","","","","Berkeley","CA","","",35
"1056",9794,"Intel Research","","","","","Berkeley","CA","","USA",37
"1057",8000,"Intel Research","","","Pennsylvania","","Pittsburgh","PA","","",36
"1058",7934,"International Institute of Information Technology","","","","","Gachhilbowli","","5000019","India",38
"1059",8266,"ISLA","Universiteit van Amsterdam","","","","","","","The Netherlands",39
"1060",949,"ISLA","University of Amsterdam","","","","","","","The Netherlands",39
"1061",5273,"ISTI-CNR","","","","","Pisa","","","Italy",40
"1062",4350,"itr-rescue.org","","","","","","","","",41
"1063",4349,"itr-rescue.org (UC Irvine)","","","","","","","","",41
"1064",6990,"Japan Advanced Institute of Science and Technology","","","","","","","","",42
"1065",1713,"Japan Advanced Institute of Science and Technology","Asahidai","Tatsunokuchi","","","","Ishikawa","","Japan",42
"1066",7997,"Japan Advanced Institute of Science and Technology","","","","","","Ishikawa","","Japan",43
"1067",1704,"Johns Hopkins University","","","","","","","","",44
"1068",2955,"Johns Hopkins University","","","","","Baltimore","MD","","",44
"1069",4838,"KAIST","","","","","","","","",43
"1070",7024,"KAIST","","","","","Taejon","","","KOREA",43
"1071",1279,"Kelman GmbH Berlin","","","","","Berlin","","","Germany",45
"1072",170,"Kent State University","","","","","Kent","OH","","",46
"1073",5697,"Kent State University","","","","","Kent","OH","","USA",46
"1074",9485,"Key Labs of Data Engineering and Knowledge Engineering","MOE","Renmin University of China","People's Republic of China","","Beijing","","","",47
"1075",6256,"Kickfire","Santa Clara","","","","","CA","","USA",48
"1076",6047,"King Abdullah University of Science and Technology","Saudi Arabia","","","","Jedah","","","",49
"1077",6186,"King Abdullah University of Science and Technology","Soudi Arabia","","","","","","","Saudi Arabia",49
